#OK
#SQL=        SELECT                            
#		 MORF.* ,   
#		 APT.*,  
#	         SH.GroupNumber as GalID,
#		 SH.BlackHoleMass as MasaANegroSubGrid ,         
#		 SH.BlackHoleMassAccretionRate as AcrecionMasaANegro ,         
#		 SH.Mass as Masa ,         
#		 SH.MassType_DM as MasaMateriaOscura ,     
#		 SH.MassType_Gas as MasaGas,                
#		 SH.MassType_Star as MasaEstrella,
#		 SH.MassType_BH as MasaANegro
#		                           	                                        
#	       FROM                              
#	         RecalL0025N0752_Morphokinem as MORF,                              
#	         RecalL0025N0752_Subhalo as SH,             
#	         RecalL0025N0752_Aperture as APT                              
#	                   	                                        
#	       WHERE                              
#	         MORF.GalaxyID = SH.GalaxyID AND       
#	         MORF.GalaxyID = APT.GalaxyID AND              
#	         MORF.DMEllipticity < 1 AND             
#	         APT.SFR > 0 AND  
#	         APT.Mass_Gas > 0 AND 
#	         SH.SubGroupNumber = 0 AND         
#	         APT.ApertureSize = 30 AND           
#	         SH.Snapnum =28
#	       
#MAXROWS UNLIMITED
#QUERYTIMEOUT 1800 sec
#QUERYTIME 55 millisec
#COLUMN 1 name=GalaxyID JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=DMEllipticity JDBC_TYPE=8 JDBC_TYPENAME=float
#COLUMN 3 name=DiscToTotal JDBC_TYPE=8 JDBC_TYPENAME=float
#COLUMN 4 name=DispAnisotropy JDBC_TYPE=8 JDBC_TYPENAME=float
#COLUMN 5 name=Ellipticity JDBC_TYPE=8 JDBC_TYPENAME=float
#COLUMN 6 name=KappaCoRot JDBC_TYPE=8 JDBC_TYPENAME=float
#COLUMN 7 name=MedOrbitCircu JDBC_TYPE=8 JDBC_TYPENAME=float
#COLUMN 8 name=RotToDispRatio JDBC_TYPE=8 JDBC_TYPENAME=float
#COLUMN 9 name=Triaxiality JDBC_TYPE=8 JDBC_TYPENAME=float
#COLUMN 10 name=GalaxyID JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 11 name=ApertureSize JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 12 name=Mass_BH JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 13 name=Mass_DM JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 14 name=Mass_Gas JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 15 name=Mass_Star JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 16 name=VelDisp JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 17 name=SFR JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 18 name=GalID JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 19 name=MasaANegroSubGrid JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 20 name=AcrecionMasaANegro JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 21 name=Masa JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 22 name=MasaMateriaOscura JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 23 name=MasaGas JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 24 name=MasaEstrella JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 25 name=MasaANegro JDBC_TYPE=7 JDBC_TYPENAME=real
GalaxyID,DMEllipticity,DiscToTotal,DispAnisotropy,Ellipticity,KappaCoRot,MedOrbitCircu,RotToDispRatio,Triaxiality,GalaxyID,ApertureSize,Mass_BH,Mass_DM,Mass_Gas,Mass_Star,VelDisp,SFR,GalID,MasaANegroSubGrid,AcrecionMasaANegro,Masa,MasaMateriaOscura,MasaGas,MasaEstrella,MasaANegro
406515,0.3569487017380797,0.014767278998984446,-0.1301830942449702,0.46045805760096215,0.1634719883148883,0.00930053189928316,0.011432062301116574,0.9270487039083328,406515,30,225994.12,2.2387073E10,1.80026528E8,7.1087136E7,21.956575,0.009557824,423,151067.22,6.7966E-15,5.2443386E10,5.1400712E10,9.7058086E8,7.1870216E7,225994.12
407082,0.2622378199638741,0.1269614155092328,-0.028477331943966844,0.32392781059830245,0.19864029200304217,0.05858485316105641,0.11458291771825121,0.25057474921180545,407082,30,226461.89,1.6142251E10,2.38495437E9,1.65545152E8,23.77622,0.034616005,424,148850.12,1.852961E-8,3.21136497E10,2.74660659E10,4.4799109E9,1.67445168E8,226461.89
407368,0.23368906165525494,0.30732454020377187,0.29598268499741676,0.43301127861905386,0.23400708131595763,0.16375578313199896,0.3140976407283393,0.5094761770142168,407368,30,452119.2,1.98930227E10,5.17801248E8,1.10604928E8,25.084852,0.022663238,425,299351.44,1.5816843E-9,4.606967E10,4.4574188E10,1.38233037E9,1.12701416E8,452119.2
407963,0.31113343407591254,0.42404456843099614,0.6267873337265929,0.6601067033026776,0.3470915150217,0.2719122981177038,0.4044790184522194,0.6034735014823451,407963,30,233368.06,1.9563391E10,1.32128704E9,8.8128064E7,24.522423,0.017714787,426,150918.98,1.8600181E-8,4.5205107E10,4.2723647E10,2.39255731E9,8.8670416E7,233368.06
408500,0.3986745596812802,-0.03680179810948214,0.2091666082938547,0.42924398808420205,0.15717877191987237,-0.013196581605613756,0.05229112336297389,0.7900301035382729,408500,30,226335.95,1.89550285E10,5.991872E7,4.5881888E7,21.377172,0.005168967,427,148601.72,1.1044998E-7,3.9598531E10,3.8978933E10,5.7323053E8,4.6143172E7,226335.95
409360,0.3518002050503094,0.08767395900734964,-0.25995998808845533,0.3108225154690266,0.1848687839114627,0.05836545300283374,0.11092670813985452,0.781935139117436,409360,30,225994.19,2.33032561E10,5.5561171E8,1.76763968E8,27.884825,0.024263134,429,147897.72,3.2154464E-8,4.8766411E10,4.7073087E10,1.51528717E9,1.77815104E8,225994.19
409724,0.1344428151093724,0.611590917475116,0.3270416902056368,0.5376755724567968,0.4874974349598883,0.46364994143822147,0.9872763153390516,0.08971921811644973,409724,30,226954.3,2.90596884E10,4.80577856E8,6.2158106E8,33.90682,0.029051771,430,149078.98,6.839346E-13,4.8440357E10,4.6783443E10,1.03304064E9,6.2364422E8,226954.3
410180,0.530315556825776,0.08065820004254465,0.005364751651836919,0.4884916829696485,0.17523344734976237,0.04838672024430969,0.0974160193795485,0.862386198113049,410180,30,229142.38,2.42606428E10,5.4841656E7,9.293056E7,24.825726,0.0058873105,431,149472.72,1.0557458E-9,4.6371598E10,4.6078128E10,1.99776624E8,9.3465152E7,229142.38
410827,0.24846418008523408,0.2668390510807581,0.3077762996290503,0.4773889118819179,0.2404201641218469,0.1595475153696804,0.29246014768187173,0.5347897018993502,410827,30,228138.23,2.56615752E10,3.48112672E8,1.4284776E8,29.09137,0.010009604,432,147908.73,2.0183945E-11,4.8180552E10,4.741605E10,6.197991E8,1.444784E8,228138.23
411286,0.3074551500770514,-7.589374286913753E-4,0.08871058950407607,0.42270252368719996,0.15440783083516618,0.0020391563177421497,0.008323834291417786,0.640407209844032,411286,30,226096.66,2.57052017E10,1.85693264E8,7.1106392E7,25.008142,0.0013371984,433,148373.98,2.218925E-11,5.190364E10,5.1072291E10,7.5920269E8,7.1917944E7,226096.66
838817,0.4670595825951418,0.05411156737749123,0.03821887756667419,0.4060027461269171,0.16907302395046364,0.024804628938852692,0.05994137312507143,0.7686944137012741,838817,30,1.6401564E7,1.696633E11,1.87001766E9,1.0421803E10,70.188835,0.071647026,44,1.4119584E7,1.2579471E-5,9.7596906E11,9.3290221E11,3.21768284E10,1.08734044E10,1.6627557E7
846421,0.3950861800832789,0.8045442681059936,0.1680056709360026,0.7458910499258877,0.671929814083858,0.7563557829864446,2.125261569176763,0.07413603423494124,846421,30,5784568.0,1.9578418E11,5.3090452E9,2.25677967E10,92.612495,1.0453924,45,5880946.5,1.7826652E-4,9.1654324E11,8.5573081E11,3.6916359E10,2.38889677E10,7141846.0
853401,0.29766998297890146,0.7718262651255898,0.06163972875574952,0.6827737780399198,0.6231875119968527,0.6361072611755615,1.8182176937291554,0.14499676635105563,853401,30,9476027.0,1.68667152E11,5.8767903E9,1.90100828E10,84.82286,0.8247564,46,9294284.0,2.8561766E-5,9.0323524E11,8.4276858E11,4.1053E10,1.94035548E10,1.015401E7
1809568,0.34388222674551716,0.025393464586648817,0.2974718996214458,0.5278080521202111,0.2234488832625949,0.014682824864777663,0.02528752169411221,0.6846548904163092,1809568,30,3.39743584E8,4.53780275E11,5.4432113E9,5.8857513E10,147.6508,1.436591,1,3.604136E8,1.9674748E-4,1.55787146E13,1.42044205E13,1.26246951E12,1.11453536E11,3.7288944E8
171994,0.4356297622802402,0.4186984807795956,0.6278807886787123,0.7004986988072179,0.378642909567111,0.24528502354692724,0.46536815207624116,0.7156948202075876,171994,30,452718.2,3.34333665E10,3.69288781E9,4.20933152E8,34.590435,0.10628101,113,295324.66,6.495796E-10,1.4215032E11,1.28035201E11,1.36805642E10,4.34089952E8,452718.2
411884,0.296937430205205,0.25286486016159904,0.2541053920552945,0.46311786974249947,0.2815980864076939,0.18687577266286926,0.3158075319603027,0.6516618263875713,411884,30,264945.78,1.74244229E10,1.01560032E9,4.6711908E7,23.526054,0.012937317,434,149981.86,2.2966566E-9,4.1758913E10,3.8930457E10,2.7811799E9,4.7010436E7,264945.78
412307,0.4590236382871635,0.05878340583063091,0.2933460692052904,0.4768143571645519,0.18436837568591666,0.029217785862191623,0.048901888228824554,0.7067705895987462,412307,30,229399.17,2.29627146E10,5.2005196E7,1.18452936E8,26.299164,0.0014544637,435,149003.88,3.5814948E-10,4.4504728E10,4.3850695E10,5.3459952E8,1.1920652E8,229399.17
412753,0.548423442121386,0.055718499545023725,0.4505989159488356,0.6414448352503124,0.18786906114989374,0.0655543856206792,0.08200871542403021,0.8433087264891332,412753,30,471277.97,2.2179842E10,1.0274336E8,5.2122756E7,26.633257,0.007686069,436,296640.44,7.991689E-11,5.3399634E10,5.2762866E10,5.8338458E8,5.2910628E7,471277.97
414371,0.5061207337081474,0.23606632873551536,0.4075547139777119,0.46818123728394667,0.2613899881482826,0.15337220912405508,0.2640788550405074,0.4141994006380661,414371,30,229034.4,2.93602365E10,6.0426684E7,2.03383568E8,30.39372,0.0040759835,439,148187.45,1.0040078E-9,5.3500613E10,5.3008876E10,2.87985088E8,2.03523616E8,229034.4
415528,0.47591034786548414,0.46647123076679553,0.5769888734468553,0.6846389019760943,0.41966044445340583,0.3632562779670235,0.5081169248552488,0.6759605397627017,415528,30,237062.95,1.49776353E10,2.18786352E8,4.441686E7,23.04903,0.0023718486,441,147641.23,5.779362E-12,3.259264E10,3.15149599E10,1.03276493E9,4.4676564E7,237062.95
415894,0.2748124452709474,0.19471697680228117,0.5035652701195991,0.48005866717669243,0.27377099012060213,0.138578730358875,0.22173803496637004,0.3154855100503022,415894,30,225994.12,2.32256942E10,4.38524512E8,1.2094092E8,24.476341,0.018698646,442,196548.17,5.612566E-12,4.8183407E10,4.6933717E10,1.12809792E9,1.21362464E8,225994.12
417303,0.4350637295437705,0.04625550465116268,0.3074362881465895,0.4011316754435408,0.18899710588525262,0.03756757050056299,0.06734002163489826,0.45499335767252735,417303,30,229275.4,1.68160573E10,8.525031E8,8.288496E7,20.154137,0.0040647755,445,147839.31,9.426749E-11,3.6761788E10,3.5079102E10,1.59890214E9,8.3556144E7,229275.4
418301,0.4836174135605449,0.3832346318315407,0.5374159146478743,0.6255162098117454,0.3124474021905975,0.2876437087309973,0.4493438972421318,0.5653479525669046,418301,30,227060.39,2.02553754E10,4.58494656E8,9.1549008E7,22.237082,0.010799051,447,147784.31,5.8026305E-12,4.5358539E10,4.3960975E10,1.30552794E9,9.1807152E7,227060.39
418946,0.2528527256003258,0.1235485740451292,0.051155051014526,0.24707729725775707,0.19931567375731057,0.07734355321033567,0.17046785791477104,0.5743408782162133,418946,30,230312.58,2.00784425E10,7.9019514E8,5.8482304E7,21.823244,0.0054932274,448,148551.98,3.5573784E-11,4.0974225E10,3.9097696E10,1.81768397E9,5.8613104E7,230312.58
419345,0.432452260073265,-0.008377690240242375,0.1492393434802498,0.4471170410917952,0.18573869764380901,-0.0033363922733027304,0.0029549731384861735,0.9041551657649256,419345,30,226282.23,2.63329587E10,2.1464626E7,8.5916976E7,26.611334,7.000801E-4,449,149866.88,7.559639E-11,4.9657573E10,4.9391411E10,1.7949832E8,8.643972E7,226282.23
419923,0.37952982644964817,0.13814181994433394,0.3561728666732483,0.5745163554845006,0.2020755944505984,0.08391460757720538,0.1312246580272768,0.779657787982866,419923,30,225994.7,2.32753828E10,8.0447891E8,1.05149888E8,23.579416,0.009590869,450,151680.0,2.0788603E-11,4.5364462E10,4.3741626E10,1.5171936E9,1.0541648E8,225994.7
