GalID Sim logLCII logLNII_205 logLNII_122 logLOI_145 logLOIII_88 logLNIII_57
11.0 Ref100 8.450187634229371 7.5256145616261705 7.332794018805233 6.499519055846627 6.394487963631868 5.817649210359375
6.0 Ref100 8.408184353712917 7.495340931392728 7.241338972536405 6.276553499541244 6.476954508915274 5.904120415425211
1.0 Ref100 8.881598281842457 7.998023008500145 7.742776555174997 6.699711844674182 6.9741835146126645 6.4130227940866025
4.0 Ref100 8.486389498348917 7.561499721498752 7.433742679825663 6.794526202400308 6.641563529971638 6.073023254238537
7165.0 Ref100 6.421892735076585 4.922430483063327 4.656849446909889 5.101645019101053 4.275201794723876 3.6662452767939766
4218.0 Ref100 6.9097527679986435 5.473485157441624 5.225584894137033 4.765516417527379 4.484329531191637 3.869753068480367
114.0 Ref100 7.3128993695140405 6.323854837410285 6.036992571343002 5.708932711355773 5.5350868370202475 4.963773671365811
16957.0 Ref100 6.786234163739494 4.756247658161439 4.539601741354448 5.20198438642167 3.810400935813723 3.2035042303316033
2754.0 Ref100 6.3732296390686765 4.677054129434367 4.449722018638346 4.719672450159394 3.9308498048343625 3.3184905898341914
9092.0 Ref100 6.449413871527523 4.6253560790825 4.38906587061152 4.470763842446255 3.85688847695032 3.2442639715602697
8553.0 Ref100 6.701177188356138 5.401793873403876 5.1477050824028785 4.343107172060896 4.497629320204284 3.8958412974061476
1935.0 Ref100 6.900432696735769 5.926475967221045 5.618177668381992 4.343770099223693 4.989301560297338 4.424350765975868
5935.0 Ref100 6.463086626626436 4.7712059424144275 4.488489827812124 4.888208620764987 4.318698622408663 3.7098325719095215
10.0 Ref100 8.444409679527698 7.551570219189117 7.288156090322156 6.332684375079484 6.659041173479429 6.09207379918418
4421.0 Ref100 6.953958140547238 5.747795728588846 5.506861560017729 4.668758961663403 4.836190873012592 4.239862101033885
5106.0 Ref100 6.869445265530301 5.548893764080127 5.2568298175148165 4.462963099541187 4.7774408554377725 4.178633256738675
28.0 Ref100 8.26000696705955 7.339984322036951 7.088245778756217 6.173032010387349 6.397984996259299 5.825239508492329
3715.0 Ref100 6.893412942345682 5.782251853261 5.489445282684519 4.463963811379817 5.012095517765918 4.416762089317652
2606.0 Ref100 6.650615118462454 5.203130785127004 4.87859508939 3.8113037264172105 4.558439707511896 3.973968734985459
2.0 Ref100 8.700846335791727 7.822050175262917 7.565280840510923 6.5228917581151755 6.88957319239785 6.322044008183843
5806.0 Ref100 6.518891093310118 4.93647158173509 4.669947313454221 4.622391458834825 4.345573275284297 3.734609179409477
5965.0 Ref100 6.654748286544498 5.537948572384727 5.253181684410461 4.423167418682555 4.820529799156766 4.231670566184701
5602.0 Ref100 6.374683244687461 5.066235159688265 4.803559962513386 4.232475737886912 4.4206400700870425 3.810594979955689
3465.0 Ref100 6.824419833961364 5.468755843977801 5.176573417778534 4.23461327027111 4.695884894329362 4.090173810530187
3341.0 Ref100 6.541200350364562 5.1537292555164855 4.855397962532301 4.574178588377433 4.662271245344545 4.081615680541899
2946.0 Ref100 6.958694193976565 5.786025295519569 5.508182542336789 4.649057974231635 4.921370284062107 4.325384172487845
