#OK
#SQL=     
#	      SELECT                            
#		 MORF.* ,   
#		 APT.*,  
#	         SH.GroupNumber as GalID,
#		 SH.BlackHoleMass as MasaANegroSubGrid ,         
#		 SH.BlackHoleMassAccretionRate as AcrecionMasaANegro ,         
#		 SH.Mass as Masa ,         
#		 SH.MassType_DM as MasaMateriaOscura ,     
#		 SH.MassType_Gas as MasaGas,                
#		 SH.MassType_Star as MasaEstrella,
#		 SH.MassType_BH as MasaANegro
#			                           	                                        
#	       FROM                              
#	         RefL0100N1504_Morphokinem as MORF,                              
#	         RefL0100N1504_Subhalo as SH,             
#	         RefL0100N1504_Aperture as APT                              
#		                   	                                        
#	       WHERE                              
#	         MORF.GalaxyID = SH.GalaxyID AND       
#	         MORF.GalaxyID = APT.GalaxyID AND              
#	         MORF.DMEllipticity < 1 AND             
#	         APT.SFR > 0 AND  
#	         APT.Mass_Gas > 0 AND 
#	         SH.SubGroupNumber = 0 AND         
#	         APT.ApertureSize = 30 AND           
#	         SH.Snapnum =28
#MAXROWS UNLIMITED
#QUERYTIMEOUT 1800 sec
#QUERYTIME 316 millisec
#COLUMN 1 name=GalaxyID JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=DMEllipticity JDBC_TYPE=8 JDBC_TYPENAME=float
#COLUMN 3 name=DiscToTotal JDBC_TYPE=8 JDBC_TYPENAME=float
#COLUMN 4 name=DispAnisotropy JDBC_TYPE=8 JDBC_TYPENAME=float
#COLUMN 5 name=Ellipticity JDBC_TYPE=8 JDBC_TYPENAME=float
#COLUMN 6 name=KappaCoRot JDBC_TYPE=8 JDBC_TYPENAME=float
#COLUMN 7 name=MedOrbitCircu JDBC_TYPE=8 JDBC_TYPENAME=float
#COLUMN 8 name=RotToDispRatio JDBC_TYPE=8 JDBC_TYPENAME=float
#COLUMN 9 name=Triaxiality JDBC_TYPE=8 JDBC_TYPENAME=float
#COLUMN 10 name=GalaxyID JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 11 name=ApertureSize JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 12 name=Mass_BH JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 13 name=Mass_DM JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 14 name=Mass_Gas JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 15 name=Mass_Star JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 16 name=VelDisp JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 17 name=SFR JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 18 name=GalID JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 19 name=MasaANegroSubGrid JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 20 name=AcrecionMasaANegro JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 21 name=Masa JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 22 name=MasaMateriaOscura JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 23 name=MasaGas JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 24 name=MasaEstrella JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 25 name=MasaANegro JDBC_TYPE=7 JDBC_TYPENAME=real
GalaxyID,DMEllipticity,DiscToTotal,DispAnisotropy,Ellipticity,KappaCoRot,MedOrbitCircu,RotToDispRatio,Triaxiality,GalaxyID,ApertureSize,Mass_BH,Mass_DM,Mass_Gas,Mass_Star,VelDisp,SFR,GalID,MasaANegroSubGrid,AcrecionMasaANegro,Masa,MasaMateriaOscura,MasaGas,MasaEstrella,MasaANegro
12630125,0.35471858307729676,0.19954452494268482,0.20919444729051417,0.39239467685420626,0.22271181436864906,0.1348771800899181,0.22883759298830808,0.9427223415576528,12630125,30,3635301.2,4.3996119E10,1.68703424E9,5.6862163E8,35.36924,0.09039803,5470,319736.7,5.330352E-8,1.87308655E11,1.76168665E11,1.05392824E10,5.9705216E8,3635301.2
12632890,0.4120998139396115,0.07827137749805724,0.3284566595651628,0.42387967234405177,0.19548653319202278,0.037735424675113885,0.07128006585098481,0.5335737526892512,12632890,30,9043995.0,6.4035783E10,4.64993504E8,1.74743053E9,42.76886,0.13926327,5478,1111999.8,1.3852493E-5,2.18052674E11,2.14250815E11,1.99768307E9,1.79511578E9,9043995.0
17535726,0.3251348010297205,0.10586590100870352,0.3549290247817847,0.40995379620386807,0.21709231822085737,0.05240892895259545,0.10489403608232896,0.5627675344088442,17535726,30,8.07582E7,2.80341971E11,3.81292365E9,3.16983214E10,104.389145,0.7348301,702,7.0505008E7,1.00883946E-4,2.89952917E12,2.78342821E12,7.5160453E10,4.0816075E10,1.24368264E8
17542160,0.24331463997271519,0.4235124687486268,0.4602044136847323,0.6568345162329725,0.3295750061426333,0.23741268754404357,0.49793538485770095,0.8392557195560113,17542160,30,1.00815408E8,3.64824592E11,1.7579863E9,5.3390254E10,128.3389,0.20186667,704,9.9692448E7,3.3086606E-6,2.85626126E12,2.72279536E12,7.578683E10,5.75326E10,1.46314624E8
10563929,0.4347722957641803,0.39224100279628993,0.4893278542416528,0.6098873892938296,0.4270979336416575,0.29249483591542946,0.6375719773046978,0.14550889893692934,10563929,30,1.1325023E7,1.23757257E11,2.9627287E9,8.33363E9,66.15627,0.44507483,2431,1719497.4,4.86635E-8,5.8907007E11,5.6160492E11,1.87549204E10,8.6916393E9,1.8569668E7
12860328,0.4456289921180434,0.6702045235034244,0.4774919180839412,0.644492066814671,0.5093874674304476,0.49033073866702714,1.0495164743393819,0.26326592482847744,12860328,30,1827273.1,6.8534284E10,3.04862106E9,4.5650002E9,54.0134,0.1944831,5690,242244.52,6.966964E-8,2.02404741E11,1.90691869E11,7.0620477E9,4.6490214E9,1827273.1
12860996,0.3666989201092411,0.04357727786651333,-0.03562301034984028,0.1647677118996097,0.1710722648300608,0.011740897774455595,0.04926482752538632,0.7238359063537859,12860996,30,1807962.5,6.3105053E10,1.50739494E9,2.22084634E9,50.30402,0.08865679,5693,255096.5,1.657247E-7,1.96316676E11,1.86212745E11,7.8574346E9,2.24468045E9,1807962.5
12865219,0.47859072100397304,0.1527827749132007,-0.18178980734579397,0.401418546277744,0.1844172883121099,0.08157985272922881,0.1757365725918143,0.9410261384166831,12865219,30,3617988.0,6.1699273E10,4.53338592E8,1.22995315E9,37.47292,0.098192394,5704,326472.4,5.754623E-7,2.19746271E11,2.15491789E11,2.98394675E9,1.26690406E9,3617988.0
12885625,0.28743788255504144,0.36227035987695233,0.4735878068815891,0.4870125567908562,0.4226565928279582,0.25642140811305153,0.5402794364389781,0.04891797691240026,12885625,30,1809545.8,6.4074559E10,3.21949261E9,1.25734106E9,46.326992,0.15893811,5757,351574.12,9.895231E-9,2.12615283E11,2.05224739E11,6.0863621E9,1.30056333E9,3617498.8
12907256,0.4779349392943012,0.15653678915280644,0.08012721628942798,0.4740613913396179,0.22502407037604225,0.05866504844415446,0.18759398577424913,0.7630782769960451,12907256,30,3672486.0,3.6511543E10,3.46516019E9,4.98886912E8,37.606266,0.15193875,5817,305415.94,8.694192E-8,1.59690801E11,1.49943583E11,9.2339558E9,5.0958336E8,3672486.0
